MAE,RMSE,WAPE,sMAPE,dataset,fold,model,WAPE_CI_low,WAPE_CI_high,flows,rows,step_minutes,lookback_steps,horizon_steps,train_windows,val_windows,test_windows,constant_flows,ensemble_weights,train_summary
18267.92578125,80356.671875,15.688726425170898,47.12483215332031,CERNET,1,N-HiTS-Small,12.822980922674748,19.65267833650302,196,2880,5,72,12,27048,4508,4704,43,{},"{""best_val_huber"": 0.14209040999412537, ""epochs_run"": 2.0, ""final_train_huber"": 0.09595794570944924}"
20066.412109375,90525.2421875,17.233291625976562,46.78171920776367,CERNET,1,All-flow WRTCN,14.078190776884455,21.21736526805326,196,2880,5,72,12,27048,4508,4704,43,{},"{""best_val_huber"": 0.13968363404273987, ""epochs_run"": 2.0, ""final_train_huber"": 0.09269825960802841}"
18749.412109375,76311.3203125,16.102235794067383,51.30911636352539,CERNET,1,GraphAttention-Small,13.355888233912745,20.43596250773604,196,2880,5,72,12,27048,4508,4704,43,{},"{""best_val_huber"": 0.15683232247829437, ""epochs_run"": 2.0, ""final_train_huber"": 0.11845246151737544}"
16570.779296875,69733.546875,14.231197357177734,45.68501281738281,CERNET,1,SCALE-TM neural ensemble,11.679421056841692,17.47868575725171,196,2880,5,72,12,27048,4508,4704,43,"{""All-flow WRTCN"": 0.30000001192092896, ""Damped persistence"": 0.4000000059604645, ""N-BEATS-Small"": 0.30000001192092896}",{}
16434.36328125,68208.2265625,14.11404037475586,47.03026580810547,CERNET,1,SCALE-TM no-WRTCN ensemble,11.460900282155391,18.296088568924485,196,2880,5,72,12,27048,4508,4704,43,"{""Damped persistence"": 0.4000000059604645, ""N-BEATS-Small"": 0.5, ""TimesNet-Small"": 0.10000000149011612}",{}
18047.419921875,78072.15625,15.499353408813477,46.15443801879883,CERNET,1,Uniform candidate ensemble,12.70845207404673,19.27172777004714,196,2880,5,72,12,27048,4508,4704,43,"{""All-flow WRTCN"": 0.1, ""DLinear"": 0.1, ""Damped persistence"": 0.1, ""GraphAttention-Small"": 0.1, ""N-BEATS-Small"": 0.1, ""N-HiTS-Small"": 0.1, ""NLinear"": 0.1, ""PatchLinear"": 0.1, ""PatchTST-Small"": 0.1, ""TimesNet-Small"": 0.1}",{}
22620.2734375,110032.8203125,19.950319290161133,43.48363494873047,CERNET,2,NLinear,14.681935644618186,27.8370974629868,196,2880,5,72,12,31556,4704,4704,43,{},{}
22560.103515625,100036.4921875,19.89725112915039,51.426631927490234,CERNET,2,DLinear,15.8149605921467,25.936712713422786,196,2880,5,72,12,31556,4704,4704,43,{},{}
22677.142578125,100719.5859375,20.00047492980957,51.19135284423828,CERNET,2,PatchLinear,16.428183240367176,26.818769232624874,196,2880,5,72,12,31556,4704,4704,43,{},{}
19616.93359375,110877.8359375,17.30147361755371,35.509552001953125,CERNET,2,Damped persistence,13.112111525643684,23.3730749489627,196,2880,5,72,12,31556,4704,4704,43,{},{}
18968.919921875,96807.28125,16.729948043823242,33.16794204711914,CERNET,2,Persistence,12.374864251178229,22.031996581180657,196,2880,5,72,12,31556,4704,4704,43,{},{}
21007.98828125,71672.265625,18.528337478637695,45.07901382446289,CERNET,2,Seasonal naive,16.419656081867846,22.28970425394818,196,2880,5,72,12,31556,4704,4704,43,{},{}
19256.357421875,92444.390625,16.983457565307617,50.33177185058594,CERNET,2,PatchTST-Small,13.269572783725138,21.988847281045143,196,2880,5,72,12,31556,4704,4704,43,{},"{""best_val_huber"": 0.15741001069545746, ""epochs_run"": 2.0, ""final_train_huber"": 0.10232665039866215}"
19226.298828125,93039.1640625,16.956947326660156,50.15293884277344,CERNET,2,N-BEATS-Small,12.80928739214538,22.59848418163061,196,2880,5,72,12,31556,4704,4704,43,{},"{""best_val_huber"": 0.13733288645744324, ""epochs_run"": 2.0, ""final_train_huber"": 0.09098441733925919}"
18678.408203125,93115.015625,16.473726272583008,48.75191116333008,CERNET,2,TimesNet-Small,12.534119823751013,21.7664295447278,196,2880,5,72,12,31556,4704,4704,43,{},"{""best_val_huber"": 0.16010673344135284, ""epochs_run"": 2.0, ""final_train_huber"": 0.10386238103319989}"
